Collective Name,size,Artist Names (if known),KMN link,Identity,hyperlink,art practice,Indigenous placename,Anglo placename,state,Country,longitude,latitude,foundation year,,Indigenous place of death/ending,Anglo place of death/ending,state of death,country of death,longitude,latitude,date of death/ending,,DAAO reference,,instagram tag,,KMN critic name,KMN page no,article references,,Doing Femnism page refs,,Trove ID,Doing Feminism ?,??,Notes,Prints Database
Jillposters,19,"Lesley Baxter, Ally Black, Linda Brassel, Julia Church, Zana
Dare, Deej Fabyc, Maggie Fooke, Julie Higginbotham, Catriona Holyoake, Barbara Miles, Kate
Reeves, Linda Rhodes, Julie Shiels, Lin Tobias, Julia Tobin, Kath Walters, Carole Wilson, Chaz
and Karen.",Jillposters,Collective,https://www.printsandprintmaking.gov.au/artists/2514/works/?has_image=yes,prints,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1983,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1988,,https://www.daao.org.au/bio/group/jillposters/,[Group] N,,,,,,,,,https://trove.nla.gov.au/people/1774277,N,N,https://theconversation.com/my-life-as-a-jillposter-the-radical-feminist-poster-group-that-pasted-prints-around-melbourne-in-the-80s-214959,https://www.printsandprintmaking.gov.au/artists/2514/works/?has_image=yes
Terminus,3,"Jess Johnson, Simon Ward, Jordan Marani","Johnson, Jess & Ward, Simon (Johnson)",Collective,https://www.jessjohnson.org/,mixed media,Tauranga,Tauranga,,New Zealand,-37.6859006,176.167505,1979,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],@flesh_dozer,,Jaklyn Babington,400,,,,,[Not in NLA],N,Y,,
Ken Family Collaborative,8,"Tjungkara Ken, Yaritji Young, Maringka Tunkin, Paniny Mick, Sandra Ken, Freda Brady, Sylvia Ken, Nyanu Ken","Ken Family Collaborative,",Collective,,craft,Amata ,Amata ,SA,Australia,-26.1517767,131.1469813,,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative/,[Group] N,,,Lisa Slade,208,,,249,N,https://trove.nla.gov.au/people/1879480,N,N,,
Romance Was Born,2,"Anna Plunkett, Luke Sales",Romance Was Born (Collective),Collective,https://www.romancewasborn.com/?gad_source=1&gclid=CjwKCAjw68K4BhAuEiwAylp3kt9Xlq-H80zY_DizxDDLZPbakGSHa3JCvEq_YqNL2gVtj1V58_nmhBoCymYQAvD_BwE,fashion,,,,,,,2005,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/biography/romance-was-born/,[Group] N,,,Jaklyn Babington,316,,,,,https://trove.nla.gov.au/people/1525392,N,N,,
The Hampson Family,2,"Jane Hampson, Mary Hampson",The Hampson Family,Collective,https://en.wikipedia.org/wiki/Misses_Jane_and_Mary_Hampson,"craft, quilting",Lukrakuyila,"Fernbank Farm, Westbury",TAS,Australia,-19.302825,146.816104,1901,,Lukrakuyila,"Fernbank Farm, Westbury",TAS,Australia,-19.302825,146.816104,1903,,https://www.daao.org.au/bio/group/jane-and-mary-hampson-1/,[Group] Y,,,,,,,,,"https://trove.nla.gov.au/people/1774110
https://trove.nla.gov.au/people/1489692",Y,N,,
The Lip Collective,14,"Suzanne Davies, Christine Johnston, Janine Burke, Isobel Davies, Elizabeth Gower, Frida Frieberg, Annette Blonski, Lesley Dumbrell, Suzanne Spunner, Meredith Rogers, Jeannette Fenelon (Kavanagh), Barbara Hall, Catherine Peake, Elizabeth Owen",The Lip Collective,Collective,https://en.wikipedia.org/wiki/Lip_(magazine),art journal,Wurundjeri Land,Carlton,VIC,Australia,-37.8004228,144.9684343,1976,,Wurundjeri Land,Carlton,VIC,Australia,-37.8004228,144.9684343,1984,,[Not in DAAO],[Not in DAAO],,,,,,,,,[Not in NLA],N,Y,,
Tjanpi Desert Weavers,400,,Tjanpi Desert Weavers,Collective,https://tjanpi.com.au/,"craft, basketry",Ngaanyatjarra Pitjantjatjara Yankunytjatjara,Tjanpi Desert,NT,Australia,-23.700671,133.870816,1995,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/tjanpi-desert-weavers/,[Group] Y,,,Kelli Cole,416,"(1) Vivien Johnson, 'Songlines: Tracking the Seven Sisters', Artlink 38, 1 (March 2018): 75-7 [513-15]","(1) Vivien Johnson
","244, 245, 248-49, 294i, 250, 263, 514",Y,https://trove.nla.gov.au/people/1502573,N,N,,
Women's Domestic Needlewok Group,5,"Marie McMahon, Frances (Budden) Phoenix,  Jan Fieldsend, Marla Guppy and Anne
Sheridan",Women's Domestic Needlework Group,Collective,https://www.artgallery.nsw.gov.au/collection/works/175.1981.3/,prints,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1976,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/womens-domestic-needlework-group/,[Group] N,,,,,,,,,https://trove.nla.gov.au/people/1537923,N,N,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
