date_range.date_start.year,date_range.date_start.month,date_range.date_start.day,date_range.date_end.year,date_range.date_end.month,date_range.date_end.day,place.address.ori_address,place.address.country,place.address.state,place.address.city,place.address.postcode,place.ori_dbid.$oid,place.label,place._class_ori,place._class,place.geo_coord.latitude,place.geo_coord.longitude,artist,artist_ori_dbid,place.address.suburb,ori_dbid,no_of_events,new_venue_name_x,new_venue_name_y,total_no_of_events,venue_name,venue_category_minor,venue_category_major,State
1933,1,1,1933,1,1,"Burlington House, Piccadilly, London, England, United Kingdom",United Kingdom,England,London,SW1P 3JX,4da1950db538b73d9300117c,,place,place,51.5001524,-0.1262362,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1995,8,4,1995,8,5,"Mary Place Gallery, Paddington, New South Wales",Australia,New South Wales,Sydney,2021,4da1b640b538b73d93020041,,place,place,-33.8846107,151.2265861,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",Paddington,4da1b640b538b73d93020041,8.0,"Mary Place Gallery, Paddington, NSW","Mary Place Gallery, Paddington, NSW",25.0,"Mary Place Gallery, Paddington, NSW",Commercial,Commercial,NSW
1995,3,10,1995,5,28,"Benalla Art Gallery, Benalla, Victoria",Australia,Victoria,,3672,4da1997eb538b73d9300f501,,place,place,-36.5514956,145.9817019,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
1995,2,24,1995,4,2,"S.H. Ervin Gallery, National Trust of Australia (New South Wales), Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19ab0b538b73d93010f1a,,place,place,-33.8689009,151.2070914,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
1995,3,8,1995,4,2,"Bendigo Art Gallery, Bendigo, Victoria",Australia,Victoria,Greater Bendigo,3550,4da195bfb538b73d9300590a,,place,place,-36.7587112,144.2837459,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",Bendigo,4da195bfb538b73d9300590a,13.0,"Bendigo Art Gallery, Bendigo, VIC","Bendigo Art Gallery, Bendigo, VIC",22.0,"Bendigo Art Gallery, Bendigo, VIC",Local Government and/or Regional Gallery,Government / Public Museum ,VIC
,,,,,,"Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da194f5b538b73d930005fd,,place,place,-37.8131869,144.9629796,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
1936,5,10,1936,5,10,"Athenaeum Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da19530b538b73d93002490,,place,place,-37.8131869,144.9629796,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
1995,2,16,1995,3,13,"PICA (Perth Institute of Contemporary Arts), Western Australia",Australia,Western Australia,Perth,Unknown,4da1c919b538b73d9302676a,,place,place,47.7510741,-120.7401386,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
1995,3,1,1995,4,1,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1975,9,2,1975,9,27,"Melbourne University, Ewing and George Paton Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1b023b538b73d9301dcba,,place,place,-37.8131869,144.9629796,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
,,,,,,"Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da194f5b538b73d930005fd,,place,place,-37.8131869,144.9629796,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
2000,11,24,2001,2,25,"Art Gallery of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f6,,place,place,-34.920638,138.603939,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,4da194f7b538b73d930006f6,109.0,"Art Gallery of South Australia, Adelaide, SA","Art Gallery of South Australia, Adelaide, SA",115.0,"Art Gallery of South Australia, Adelaide, SA",State Gallery / Library,Government / Public Museum ,SA
2020,11,14,2021,7,4,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1971,1,1,1971,1,1,"Rosalind Humphries Galleries, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1954ab538b73d93002fac,,place,place,-37.8131869,144.9629796,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
1995,3,8,1995,4,15,"Ivan Dougherty Gallery, Paddington, Sydney, New South Wales",Australia,New South Wales,Sydney,2021,4da19531b538b73d9300257b,,place,place,-33.8846107,151.2265861,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",Paddington,,,,,,,,,
2011,10,20,2012,12,15,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, Western Australia",Australia,Western Australia,Perth,6009,4da1a7fcb538b73d9301a5ec,,place,place,-31.9796122,115.8185563,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,4da1a7fcb538b73d9301a5ec,41.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA","Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",51.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",University Gallery,University Gallery,WA
1923,1,1,1923,1,1,"Athanaeum Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1954ab538b73d93002fb1,,place,place,-37.8131869,144.9629796,"""Clarice Beckett""","{""$oid"": ""4da1954bb538b73d93002fba""}",,,,,,,,,,
2000,12,5,2000,1,1,"Bellas Gallery, Fortitude Valley, Brisbane, Queensland",Australia,Queensland,Brisbane,4006,4da1955eb538b73d930037b2,,place,place,-27.4574861,153.033686,"""Kate Beynon""","{""$oid"": ""4da1955eb538b73d930037b5""}",Fortitude Valley,,,,,,,,,
2020,11,14,2021,7,4,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Kate Beynon""","{""$oid"": ""4da1955eb538b73d930037b5""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1999,8,20,1999,9,26,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Kate Beynon""","{""$oid"": ""4da1955eb538b73d930037b5""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
2002,1,1,2002,1,1,"Contemporary Art Centre of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da1b1d4b538b73d9301e16a,,place,place,-34.9286212,138.5999594,"""Kate Beynon""","{""$oid"": ""4da1955eb538b73d930037b5""}",,4da1b1d4b538b73d9301e16a,350.0,"Contemporary Art Centre of South Australia, Adelaide, SA","Contemporary Art Centre of South Australia, Adelaide, SA",350.0,"Contemporary Art Centre of South Australia, Adelaide, SA",CAOA,ARI or Indpendent ,SA
2014,7,19,2014,9,28,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Kate Beynon""","{""$oid"": ""4da1955eb538b73d930037b5""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
2012,3,31,2012,6,3,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Kate Beynon""","{""$oid"": ""4da1955eb538b73d930037b5""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
2000,11,24,2001,2,25,"Art Gallery of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f6,,place,place,-34.920638,138.603939,"""Dorrit Black""","{""$oid"": ""4da19565b538b73d93003a10""}",,4da194f7b538b73d930006f6,109.0,"Art Gallery of South Australia, Adelaide, SA","Art Gallery of South Australia, Adelaide, SA",115.0,"Art Gallery of South Australia, Adelaide, SA",State Gallery / Library,Government / Public Museum ,SA
1953,7,30,1953,8,1,"Strathalbyn, South Australia",Australia,South Australia,Strathalbyn,Unknown,5c95a1d1ede61054ad000ade,Town Hll,place,place,,,"""Dorrit Black""","{""$oid"": ""4da19565b538b73d93003a10""}",,,,,,,,,,
2020,11,14,2021,7,4,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Dorrit Black""","{""$oid"": ""4da19565b538b73d93003a10""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1982,10,1,1982,10,31,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19809b538b73d9300c919,,place,place,-33.8686268,151.2170618,"""Dorrit Black""","{""$oid"": ""4da19565b538b73d93003a10""}",,4da19809b538b73d9300c919,7.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
2011,10,20,2012,12,15,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, Western Australia",Australia,Western Australia,Perth,6009,4da1a7fcb538b73d9301a5ec,,place,place,-31.9796122,115.8185563,"""Dorrit Black""","{""$oid"": ""4da19565b538b73d93003a10""}",,4da1a7fcb538b73d9301a5ec,41.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA","Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",51.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",University Gallery,University Gallery,WA
