Artist Name and Link to Know My Name Exhibition Page,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,In DAAO Selected Biographical Dataset,Link to AWR,Link to NLA,Multiple NLA,Missing NLA,,,
"Borgelt, Marion",Individual,,Nhill,Nhill,VIC,Australia,-36.3331297,141.6492931,1954,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/marion-borgelt/,Y,,https://trove.nla.gov.au/people/544368,N,N,,,
"Borland, Polly",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/polly-borland/biography/,Y,,https://trove.nla.gov.au/people/1486343,N,N,,,
"Bowden, Jane",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1969,30/11/1969,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),,[Not in DAAO],,https://trove.nla.gov.au/people/1515581,N,N,,,
"Bowen, Stella",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1893,16/05/1893,N/A,London,England,United Kingdom,51.5074456,-0.1277653,1947,30/10/1947,https://www.daao.org.au/bio/stella-bowen/,N,,[Not in NLA],N,Y,,,
"Boyd, Hermia",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1931,10/8/1931,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2000,25/1/2000,https://www.daao.org.au/bio/hermia-boyd-1/,N,,https://trove.nla.gov.au/people/569645,N,N,,,
"Brady, Freda",Individual,,Pitjantjatjara Land,Amata ,SA,Australia,-26.1517767,131.1469813,1961,27/6/1961,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative/,N,,https://trove.nla.gov.au/people/1869108,N,N,,,
"Brassil, Joan",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1919,Aug-19,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2005,Apr-05,https://www.daao.org.au/bio/joan-brassil-1/,N,,"https://trove.nla.gov.au/people/531955
https://trove.nla.gov.au/people/1491394",Y,N,,,
"Brassington, Pat",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.3258481,1942,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/pat-brassington/,N,,https://trove.nla.gov.au/people/480460,N,N,,,
"Brincat, Lauren",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1980,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lauren-brincat/,N,,https://trove.nla.gov.au/people/1516347,N,N,,,
"Broadhurst, Florence",Individual,,Gureng Gureng Land,Mt Perry,QLD,Australia,-25.1859565,151.6647574,1899,28/07/1899,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,1977,15/10/1977,https://www.daao.org.au/bio/florence-broadhurst/,N,,https://trove.nla.gov.au/people/1444393,N,N,,,
"Broome-Norton, Jean",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1911,31/12/1911,,,,,,,2002,6/2/2002,https://www.daao.org.au/bio/jean-broome-norton/,Y,,https://trove.nla.gov.au/people/1487098,N,N,,,
"Burchill, Janet & McCamley, Jennifer (Burchill)",Collective,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1955,12/12/1955,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),,,,,,,,,
"Burchill, Janet & McCamley, Jennifer (McCamley)",Collective,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1983,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),"https://www.daao.org.au/bio/janet-burchill/
https://www.daao.org.au/bio/jennifer-mccamley/",N,,"https://trove.nla.gov.au/people/1516427
https://trove.nla.gov.au/people/1516292
https://trove.nla.gov.au/people/1519280",Y,N,,,
Bush Couture,Collective,,,,,Australia,-24.7761086,134.755,1982,,,,,,,,1994,,https://www.daao.org.au/bio/linda-jackson/,Y,,[Not in NLA],N,Y,,,
"Calle, Sophie",Individual,,N/A,Paris,,France,48.8588897,2.320041022,1953,9/10/1953,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1021968,N,N,,,
"Callis, Jo Ann",Individual,,Siouan Land,Cincinnati,OH,USA,39.1014537,-84.5124602,1940,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Campbell, Barbara",Individual,,Mununjali Land,Beaudesert,QLD,Australia,-27.9885617,152.9961186,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/barbara-campbell/,Y,,"https://trove.nla.gov.au/people/1487083
https://trove.nla.gov.au/people/1561592
https://trove.nla.gov.au/people/1568766
https://trove.nla.gov.au/people/1568767",Y,N,,,
"Campbell, Cressida",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1960,8/7/1960,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/cressida-campbell/,N,,https://trove.nla.gov.au/people/1531596,N,N,,,
"Cardoso, Maria Fernanda",Individual,,N/A,Bogota,,Colombia,4.6533816,-74.0836333,1963,2/2/1963,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/maria-fernanda-cardoso/,N,,"https://trove.nla.gov.au/people/1517551
https://trove.nla.gov.au/people/1645247",Y,N,,,
"Carrick, Ethel",Individual,,N/A,Uxbridge,England,United Kingdom,51.5449509,-0.4816672,1872,7/02/1872,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1952,17/6/1952,https://www.daao.org.au/bio/ethel-carrick-fox/,N,,https://trove.nla.gov.au/people/472823,N,N,,,
"Cavaliere, Katthy",Individual,,N/A,Sarteano,Tuscany,Italy,42.989911,11.8687316,1972,11/11/1972,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2012,23/1/2012,https://www.daao.org.au/bio/kathy-cavaliere/,Y,,https://trove.nla.gov.au/people/546767,N,N,,,
"Center, Roma",Individual,,,,,,,,1918/1919,20/12/1919,,,,,,,2020,,[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Chapman, Dora",Individual,,Wamamukurta,Mt Barker,SA,Australia,-35.0641302,138.8586385,1911,24/3/1911,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,1995,15/5/1995,https://www.daao.org.au/bio/dora-cecil-chapman/,N,,"https://trove.nla.gov.au/people/544747
https://trove.nla.gov.au/people/901217",Y,N,,,
Charis,Individual,,,,,Australia,-24.7761086,134.755,1939,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/charis-schwarz/,N,,https://trove.nla.gov.au/people/1774475,N,N,,,
"Christmann, Jenny",Individual,,N/A,Dusseldorf,,Germany,51.2254018,6.7763137,1928,4/11/1928,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2005,6/7/2005,https://www.daao.org.au/bio/jenny-christmann/,N,,https://trove.nla.gov.au/people/1540148,N,N,,,
"Clarke, Maree",Individual,,Matakupaat,Swan Hill,VIC,Australia,-35.3390784,143.5588436,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/maree-clarke/,N,,"https://trove.nla.gov.au/people/1486825
https://trove.nla.gov.au/people/1869835",Y,N,,,
"Cleveland, Barbara",Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,2007,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/brown-council/,N,,https://trove.nla.gov.au/people/1879472,N,N,,,
Club Ate (Bhenji Rha),Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1990,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Cohn, Ola",Individual,,Dja Dja Wurrung Land/Taungurung Land,Bendigo,VIC,Australia,-36.7590183,144.2826718,1892,25/04/1892,Millowl,Cowes,VIC,Australia,-38.4502447,145.2389787,1964,23/12/1964,https://www.daao.org.au/bio/ola-cohn/,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE0323b.htm,https://trove.nla.gov.au/people/587115,N,N,,,
"Cohn, Susan",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1952,1/8/1952,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/susan-cohn/,Y,,https://trove.nla.gov.au/people/1528428,N,N,,,
"Contos, Sarah",Individual,,Wadjakboodjar,Perth,WA,Australia,-31.9558933,115.8605855,1978,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1575730,N,N,,,
"Coppersmith, Yvette",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1980,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/yvette-coppersmith/,Y,,https://trove.nla.gov.au/people/1486087,N,N,,,
"Cossington Smith, Grace",Individual,,Gadigal Land,Neutral Bay,NSW,Australia,-33.8342887,151.2182049,1892,20/04/1892,Gadigal Land,Roseville,NSW,Australia,-33.784545,151.1778441,1984,24/12/1984,https://www.daao.org.au/bio/grace-cossington-smith/,N,,https://trove.nla.gov.au/people/530490,N,N,,,
"Cotton, Olive",Individual,,Gadigal Land,Hornsby,NSW,Australia,-33.7040253,151.1005847,1911,11/7/1911,Cowra,Cowra,NSW,Australia,-33.8349393,148.6925158,2003,27/9/2003,https://www.daao.org.au/bio/olive-cotton/,Y,https://www.womenaustralia.info/biogs/AWE5984b.htm,"https://trove.nla.gov.au/people/1708069
https://trove.nla.gov.au/people/571326",Y,N,,,
"Croft, Brenda L.",Individual,,Wadjakboodjar,Perth,WA,Australia,-31.9558933,115.8605855,1964,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/brenda-l-croft/,Y,,https://trove.nla.gov.au/people/642740,N,N,,,
"Crowley, Grace",Individual,,Barrabar/Cobbadah,"Barrabar
/Cobbadah",WA/NSW,Australia,-33.773074,151.278743,1890,28/05/1890,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,1979,21/4/1979,https://www.daao.org.au/bio/grace-crowley/,[Born pre-1900] N,,https://trove.nla.gov.au/people/558304,N,N,,,
"Crozier, Cecily",Individual,,Boonwurrung Land,Elsternwick,VIC,Australia,-37.8858425,145.0070152,1912 or 1911,21/7/1911,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,2007 or 2006,,[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Cullen, Philippa",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1950,24/3/1950,N/A,Kodaikanal,Tamil Nadu,India,10.233712,77.4919719,1975,3/7/1975,https://www.daao.org.au/bio/phillipa-cullen/,Y,,https://trove.nla.gov.au/people/726081,N,N,,,
"Cumbrae Stewart, Janet",Individual,,Naarm/Boonwurrung Land,Melbourne/Brighton,VIC,Australia,-37.9081962,144.9957991,1883,23/12/1883,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1960,8/9/1960,https://www.daao.org.au/bio/janet-cumbrae-stewart/biography/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/570349,N,N,,,
"Cummings, Elisabeth",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1934,3/6/1934,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/elizabeth-cummings/,Y,,https://trove.nla.gov.au/people/1486604,N,N,,,
"Cuppaidge, Virginia",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1943,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/virginia-cuppaidge/,Y,,https://trove.nla.gov.au/people/1483966,N,N,,,
"Dangar, Anne",Individual,,Dunghutti Land,Kempsey,NSW,Australia,-31.0798092,152.842289,1887 or 1885,1/12/1885,N/A,Serrières,Ardèche,France,45.3182886,4.7650208,1951,4/9/1951,https://www.daao.org.au/bio/annie-garvin-dangar/,[Born pre-1900] Y,,"https://trove.nla.gov.au/people/1468689
https://trove.nla.gov.au/people/1197931",Y,N,,,
"Davidson, Bessie",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1880 or 1879,22/5/1879,N/A,Saints-Saëns,Normandy,France,49.634407,1.256802,1965,22/2/1965,https://www.daao.org.au/bio/bessie-davidson/,[Born pre-1900] Y,,"https://trove.nla.gov.au/people/1463931
https://trove.nla.gov.au/people/1690390",Y,N,,,
"Davies, Isabel",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1929,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/isabel-davies/,N,,https://trove.nla.gov.au/people/575938,N,N,,,
"Dawson, Janet",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1935,10/1/1935,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/janet-dawson/,Y,,"https://trove.nla.gov.au/people/616160
https://trove.nla.gov.au/people/1029126",Y,N,,,
"de Medici, eX",Individual,,Coolamon,Coolamon,NSW,Australia,-34.8163798,147.2009759,1959,12/4/1959,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/ex-de-medici/,N,,"https://trove.nla.gov.au/people/528767
https://trove.nla.gov.au/people/1773613",Y,N,,,
"Deacon, Destiny",Individual,Kuku/Erub/Mer People,Badtjala Land,Maryborough,QLD,Australia,-25.537583,152.7019182,1957,1/1/1957,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2024,22/5/2024,https://www.daao.org.au/bio/destiny-deacon/,Y,,https://trove.nla.gov.au/people/514498,N,N,,,
"Deacon, Destiny & Fraser, Virginia",Collective,,,,,Australia,-24.7761086,134.755,1996,,,,,,,,2021,,[Not in DAAO],N,,"https://trove.nla.gov.au/people/1505045
https://trove.nla.gov.au/people/1523381",Y,N,,,
"Debenham, Pam",Individual,,Palanwina Luruni Kanamaluka,Launceston,TAS,Australia,-41.433389,147.1392629,1955,30/11/1955,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/pamela-elizabeth-debenham/,Y,,https://trove.nla.gov.au/people/1487559,N,N,,,
DI$COUNT UNIVER$E,Collective,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2010,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1879476,N,N,,,
"Dickens, Karla",Individual,Wiradjuri People,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1967,2/12/1967,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/karla-dickens/,Y,,https://trove.nla.gov.au/people/1485778,N,N,,,
"Dobson, Rosemary",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1920,18/6/1920,Ngambri Land,Canberra,ACT,Australia,-35.2975906,149.1012676,2012,27/6/2012,[Not in DAAO],[Not in DAAO],https://www.womenaustralia.info/biogs/AWE4848b.htm,https://trove.nla.gov.au/people/460198,N,N,,,
"Dodd, Margaret",Individual,,Bery Bery,Berri,SA,Australia,-34.2854741,140.6017385,1941,1/2/1941,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/margaret-dodd/,Y,,https://trove.nla.gov.au/people/617595,N,N,,,
"Donegan, Cheryl",Individual,,Quinnipiack Land,New Haven,CT,USA,41.3082138,-72.9250518,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Dowling, Julie",Individual,Badimia/Yamatji People,Boorloo,Perth,WA,Australia,-31.9558933,115.8605855,1969,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/julie-dowling/,Y,,"https://trove.nla.gov.au/people/1487192
https://trove.nla.gov.au/people/1458326 ",N,N,,,
"Draper, Lynda",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lynda-draper/,Y,,https://trove.nla.gov.au/people/1484140,N,N,,,
"Dumbrell, Lesley",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1941,14/10/1941,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/lesley-dumbrell/,N,,https://trove.nla.gov.au/people/461159,N,N,,,
"Dwyer, Mikala",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/mikala-dwyer-1/personal_details/,N,,https://trove.nla.gov.au/people/532263,N,N,,,
"Dyring, Moya",Individual,,Wurundjeri Land,Coburg,VIC,Australia,-37.7449752,144.9643314,1909,10/2/1909,N/A,Wimbledon,England,United Kingdom,51.4214787,-0.2064027,1967,4/1/1967,https://www.daao.org.au/bio/moya-dyring/,Y,,"https://trove.nla.gov.au/people/1463843
https://trove.nla.gov.au/people/1487499",Y,N,,,
"Eager, Helen",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1952,27/9/1952,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/helen-eager-1/,N,,https://trove.nla.gov.au/people/1520502,N,N,,,
"Eaton, Janenne",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1950,16/6/1950,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jannene-eaton/,N,,[Not in NLA],N,Y,,,
"Edwell, Bernice",Individual,,N/A,Newbury,England,United Kingdom,51.4020243,-1.3242212,1880,11/05/1880,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,1962,,https://www.daao.org.au/bio/bernice-e-edwell/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/1485282,N,N,,,
"Ely, Bonita",Individual,,Mildura,Mildura,VIC,Australia,-34.195274,142.1503146,1946,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/bonita-ely/,Y,,https://trove.nla.gov.au/people/622468,N,N,,,
"Englund, Patricia",Individual,,Gadigal Land,Sans Souci,NSW,Australia,-33.9926292,151.1337972,1922,,,,,,,,2004,,https://www.daao.org.au/bio/patricia-englund/,Y,,https://trove.nla.gov.au/people/1524652,N,N,,,
"Erickson, Dorothy",Individual,,Bullgert,"Fairlea, Bolgart",WA,Australia,-31.26667,116.5,1939,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/dorothy-erickson/,Y,,https://trove.nla.gov.au/people/1528944,N,N,,,
